Entry1     ;Entry2;Entry3  ;Bouton1;Bouton2;Bouton3;Name                    ;Bouton1    ;Bouton2    ;Bouton3      ;Exit1      ;Exit2 ;Exit3     ;OID;Port;From;To
           ;      ;        ;       ;       ;       ;Entrée Basse Gare Cachée;Gare Cachée;Voie Nord 1;Signal Départ;Parade     ;Bas   ;Feu Entrée;200;0   ;0   ;10
Gare Cachée;Entrée;Feu Haut;       ;       ;       ;Entrée Gare Cachée      ;           ;           ;             ;Gare Cachée;Entrée;Feu Bas   ;200;1   ;12  ;17
